
ar_u_grammar,canonical_input,grammar_id,category,title,title_ar,definition,definition_ar,meta_json
,grammar|WAJH_TASHBIH,WAJH_TASHBIH,rhetoric,Aspect of similarity,وجه التشبيه,The common feature shared between the two compared things.,الصفة المشتركة بين طرفي التشبيه.,
,grammar|TASHBIH_MURSAL,TASHBIH_MURSAL,rhetoric,Regular simile,التشبيه المرسل,"Simile in which all elements (likened, compared, particle, and similarity) are present.",تشبيه يستوفي جميع أركانه.,
,grammar|TASHBIH_MUFASSAL,TASHBIH_MUFASSAL,rhetoric,Detailed simile,التشبيه المفصل,Simile where the aspect of similarity is explicitly stated.,تشبيه يذكر فيه وجه الشبه.,
,grammar|TASHBIH_MUJMAL,TASHBIH_MUJMAL,rhetoric,Concise simile,التشبيه المجمل,Simile that omits the aspect of similarity.,تشبيه يُحذف منه وجه الشبه.,
,grammar|TASHBIH_TAMTHILI,TASHBIH_TAMTHILI,rhetoric,Representational simile,التشبيه التمثيلي,Simile comparing two complex scenes or states.,تشبيه يقارن بين صورتين أو حالتين.,
,grammar|TASHBIH_BALIGH,TASHBIH_BALIGH,rhetoric,Emphatic simile,التشبيه البليغ,Simile omitting both the particle and the aspect of similarity for emphasis.,تشبيه محذوف منه الأداة ووجه الشبه.,
,grammar|MAJAZ,MAJAZ,rhetoric,Metaphor (majāz),المجاز,Use of a word in a figurative sense different from its original.,استعمال اللفظ في غير معناه الأصلي.,
,grammar|MAJAZ_ISTIʿARA,MAJAZ_ISTIʿARA,rhetoric,Istiʿāra metaphor,المجاز الاستعارة,Metaphor involving the borrowing of a term from another context.,استعارة لفظ لمعنى آخر لعلاقة ومشابهة.,
,grammar|MAJAZ_MURAKKAB,MAJAZ_MURAKKAB,rhetoric,Compound metaphor,المجاز المركب,Metaphor in which an entire phrase or sentence is used metaphorically.,مجاز يُستخدم فيه التركيب كاملاً بدلاً من كلمة واحدة.,
,grammar|MAJAZ_MURSAL,MAJAZ_MURSAL,rhetoric,Metonymy (majāz mursal),المجاز المرسل,Use of a word to mean something associated with its literal meaning.,استعمال الكلمة للدلالة على معنى ملازم لها.,
,grammar|KINAYA,KINAYA,rhetoric,Euphemism (kināya),الكناية,Indirect expression that hints at the intended meaning.,إشارة إلى معنى مقصود دون التصريح به.,
,grammar|TAWRIYA,TAWRIYA,rhetoric,Double entendre (tawriya),التورية,"Use of a word that has two meanings, one apparent and one hidden.",استعمال كلمة لها معنيان أحدهما قريب والآخر بعيد.,
,grammar|QARINA,QARINA,rhetoric,Contextual clue,قرينة,Clue in context that indicates the intended meaning in rhetorical figures.,علامة أو دليل يبين المراد في سياق الكلام.,
,grammar|NATHM,NATHM,quranic,Nazm (coherence),نظم,Arrangement and coherence of words and ideas in the Qur’ān.,تنظيم الألفاظ والمعاني في القرآن الكريم.,
,grammar|IʿJAZ_QURAN,IʿJAZ_QURAN,quranic,Inimitability of the Qur’ān,إعجاز القرآن,Belief that the Qur’ān cannot be imitated in its language and content.,اعتقاد بأن القرآن لا يمكن محاكاته في لغته ومعناه.,
,grammar|ILTIFAT,ILTIFAT,quranic,Shift (iltifāt),التفات,"Change in person, tense or number within a discourse for rhetorical effect.",الانتقال من أسلوب إلى آخر في الكلام تحقيقاً للبلاغة.,
,grammar|IDGHAM,IDGHAM,phonology,Assimilation (idghām),إدغام,Fusion of two letters into one with a shadda when they meet.,إدخال حرف في حرف آخر مع تشديد.,
,grammar|TAKHFIF,TAKHFIF,phonology,Lightening (takhfīf),تخفيف,Process of simplifying pronunciation by dropping or changing letters.,تبسيط النطق بحذف أو تغيير حرف.,
,grammar|HADHF,HADHF,morphology,Omission (ḥadhf),حذف,Deletion of a letter or word in morphology or syntax.,حذف حرف أو كلمة في التركيب.,
,grammar|TAʿLIL,TAʿLIL,morphology,Weak-letter change (taʿlīl),تعليل,Modification of weak letters in roots due to phonological rules.,تبديل حرف العلة حسب قواعد صوتية.,
,grammar|THIQL,THIQL,phonology,Heaviness (thiql),الثقل,"Difficulty of pronouncing combinations of vowels or letters, leading to changes.",صعوبة نطق حركات على الألف أو الياء مما يؤدي إلى التغيير.,
,grammar|HARAKA,HARAKA,phonology,Short vowel (haraka),حركة,Short vowel mark on a consonant indicating pronunciation.,علامة حركة قصيرة توضع على الحرف.,
,grammar|SUKUN,SUKUN,phonology,Sukūn,سكون,Diacritic indicating the absence of a vowel on a consonant.,علامة تدل على عدم وجود حركة على الحرف.,
,grammar|MUSHADDAD,MUSHADDAD,phonology,Shadda letter (mushaddad),مشدد,Letter written with a shadda to indicate doubling.,حرف يحمل شدة للدلالة على التكرار.,
